,,,,,,,,,,const,CRIM,ZN,CHAS,NOX,,RM,DIS,RAD,TAX,PTRATIO,B,LSTAT,,,,,,
226,0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,387.38,3.13,37.6,36.3411,-0.041423976,0,0,-8.757504,30.564864,-4.80007539,2.3968,-3.6226,-16.4691,3.602634,-1.635738,37.57895663,
227,0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36,31.6,36.3411,-0.044701992,0,0,-8.757504,27.2308608,-4.80007539,2.3968,-3.6226,-16.4691,3.460344,-3.323736,32.41138742,
228,0.29819,0,6.2,0,0.504,7.686,17,3.3751,8,307,17.4,377.51,3.92,46.7,36.3411,-0.032323796,0,0,-8.757504,29.2190976,-5.03801177,2.3968,-3.6226,-16.4691,3.510843,-2.048592,35.49970903,
229,0.44178,0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,380.34,3.76,31.5,36.3411,-0.047888952,0,0,-8.757504,24.9080832,-5.03801177,2.3968,-3.6226,-16.4691,3.537162,-1.964976,31.28306448,
230,0.537,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24.3,36.3411,-0.0582108,0,0,-8.757504,22.7373696,-5.48044805,2.3968,-3.6226,-16.4691,3.518655,-6.08829,24.51777175,
231,0.46296,0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,376.14,5.25,31.7,36.3411,-0.050184864,0,0,-8.757504,28.1774592,-5.48044805,2.3968,-3.6226,-16.4691,3.498102,-2.74365,33.28997429,
232,0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,385.91,2.47,41.7,36.3411,-0.062361436,0,0,-8.809632,31.6939392,-5.72957968,2.3968,-3.6226,-16.4691,3.588963,-1.290822,38.03670708,
233,0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95,48.3,36.3411,-0.035931348,0,0,-8.809632,31.3517952,-5.45119113,2.3968,-3.6226,-16.4691,3.524235,-2.06427,37.16120572,
234,0.44791,0,6.2,1,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05,29,36.3411,-0.048553444,0,2.7187,-8.809632,25.5695616,-5.45119113,2.3968,-3.6226,-16.4691,3.34986,-4.20693,31.76801503,
235,0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,24,36.3411,-0.03582078,0,0,-8.809632,23.1365376,-5.45119113,2.3968,-3.6226,-16.4691,3.503775,-5.685888,25.30398069,
236,0.52058,0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,388.45,9.54,25.1,36.3411,-0.056430872,0,2.7187,-8.809632,25.2084096,-6.1917196,2.3968,-3.6226,-16.4691,3.612585,-4.985604,30.14250813,
237,0.51183,0,6.2,0,0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73,31.5,36.3411,-0.055482372,0,0,-8.809632,27.9721728,-6.1917196,2.3968,-3.6226,-16.4691,3.627651,-2.471898,32.71729183,
238,0.08244,30,4.93,0,0.428,6.481,18.5,6.1899,6,300,16.6,379.41,6.36,23.7,36.3411,-0.008936496,1.374,0,-7.436928,24.6381696,-9.23966373,1.7976,-3.54,-15.7119,3.528513,-3.323736,28.41821837,
239,0.09252,30,4.93,0,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37,23.3,36.3411,-0.010029168,1.374,0,-7.436928,25.1133696,-9.23966373,1.7976,-3.54,-15.7119,3.569154,-3.851562,28.4051407,
240,0.11329,30,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,391.25,11.38,22,36.3411,-0.012280636,1.374,0,-7.436928,26.2196352,-9.45789647,1.7976,-3.54,-15.7119,3.638625,-5.947188,27.26476709,
241,0.10612,30,4.93,0,0.428,6.095,65.1,6.3361,6,300,16.6,394.62,12.4,20.1,36.3411,-0.011503408,1.374,0,-7.436928,23.170752,-9.45789647,1.7976,-3.54,-15.7119,3.669966,-6.48024,23.71495012,
242,0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,372.75,11.22,22.2,36.3411,-0.01115436,1.374,0,-7.436928,24.1705728,-10.50189085,1.7976,-3.54,-15.7119,3.466575,-5.863572,24.08440259,
243,0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,374.71,5.19,23.7,36.3411,-0.013828588,1.374,0,-7.436928,24.3036288,-10.50189085,1.7976,-3.54,-15.7119,3.484803,-2.712294,27.38429036,
244,0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5,17.6,36.3411,-0.022339072,1.0076,0,-7.489056,21.2623488,-11.87427923,2.0972,-3.894,-18.07815,3.464157,-6.5325,16.2820815,
245,0.19133,22,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46,18.5,36.3411,-0.020740172,1.0076,0,-7.489056,21.307968,-11.87427923,2.0972,-3.894,-18.07815,3.618909,-9.647196,13.3693556,
246,0.33983,22,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16,24.3,36.3411,-0.036837572,1.0076,0,-7.489056,23.2201728,-12.02444485,2.0972,-3.894,-18.07815,3.628674,-4.787016,19.98524238,
247,0.19657,22,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15,20.5,36.3411,-0.021308188,1.0076,0,-7.489056,23.6687616,-12.02444485,2.0972,-3.894,-18.07815,3.498102,-5.30439,19.80141456,
248,0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52,24.5,36.3411,-0.017819876,1.0076,0,-7.489056,24.4556928,-11.68261655,2.0972,-3.894,-18.07815,3.484803,-4.975152,21.24960137,
249,0.19073,22,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56,26.2,36.3411,-0.020675132,1.0076,0,-7.489056,25.5391488,-11.68261655,2.0972,-3.894,-18.07815,3.661782,-3.428256,24.05407712,
250,0.1403,22,5.86,0,0.431,6.487,13,7.3967,7,330,19.1,396.28,5.9,24.4,36.3411,-0.01520852,1.0076,0,-7.489056,24.6609792,-11.04105409,2.0972,-3.894,-18.07815,3.685404,-3.08334,24.19147459,
251,0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59,24.8,36.3411,-0.023207356,1.0076,0,-7.489056,24.4747008,-11.04105409,2.0972,-3.894,-18.07815,3.506751,-1.876134,25.02575035,
252,0.08221,22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53,29.6,36.3411,-0.008911564,1.0076,0,-7.489056,26.4477312,-13.29503109,2.0972,-3.894,-18.07815,3.590637,-1.844778,24.87434155,
253,0.36894,22,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54,42.8,36.3411,-0.039993096,1.0076,0,-7.489056,31.3974144,-13.29503109,2.0972,-3.894,-18.07815,3.69117,-1.850004,29.88825021,
254,0.04819,80,3.64,0,0.392,6.108,32,9.2203,1,315,16.4,392.89,6.57,21.9,36.3411,-0.005223796,3.664,0,-6.811392,23.2201728,-13.76314181,0.2996,-3.717,-15.5226,3.653877,-3.433482,23.92591019,
255,0.03548,80,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25,20.9,36.3411,-0.003846032,3.664,0,-6.811392,22.3382016,-13.76314181,0.2996,-3.717,-15.5226,3.675174,-4.83405,21.66604576,
256,0.01538,90,3.75,0,0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11,44,36.3411,-0.001667192,4.122,0,-6.846144,28.3371264,-9.45789647,0.8988,-2.8792,-15.04935,3.592962,-1.625286,37.43244474,
257,0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,389.7,5.12,50,36.3411,-0.066290936,0.916,0,-11.242272,33.0891264,-2.6883527,1.498,-3.1152,-12.3045,3.62421,-2.675712,43.37610876,
258,0.66351,20,3.97,0,0.647,7.333,100,1.8946,5,264,13,383.29,7.79,36,36.3411,-0.071924484,0.916,0,-11.242272,27.8771328,-2.82806942,1.498,-3.1152,-12.3045,3.564597,-4.071054,36.5638099,
259,0.65665,20,3.97,0,0.647,6.842,100,2.0107,5,264,13,391.93,6.9,30.1,36.3411,-0.07118086,0.916,0,-11.242272,26.0105472,-3.00137189,1.498,-3.1152,-12.3045,3.644949,-3.60594,35.07013145,
260,0.54011,20,3.97,0,0.647,7.203,81.8,2.1121,5,264,13,392.8,9.59,33.8,36.3411,-0.058547924,0.916,0,-11.242272,27.3829248,-3.15273167,1.498,-3.1152,-12.3045,3.65304,-5.011734,34.90607921,
261,0.53412,20,3.97,0,0.647,7.52,89.4,2.1398,5,264,13,388.37,7.26,43.1,36.3411,-0.057898608,0.916,0,-11.242272,28.588032,-3.19407946,1.498,-3.1152,-12.3045,3.611841,-3.794076,37.24694693,
262,0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,386.86,5.91,48.8,36.3411,-0.056383176,0.916,0,-11.242272,31.9258368,-3.41604395,1.498,-3.1152,-12.3045,3.597798,-3.088566,41.05576967,
263,0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,393.42,11.25,31,36.3411,-0.089458184,0.916,0,-11.242272,27.8543232,-3.10302476,1.498,-3.1152,-12.3045,3.658806,-5.87925,34.53452426,
264,0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,387.89,8.1,36.5,36.3411,-0.059627588,0.916,0,-11.242272,27.3943296,-2.88106027,1.498,-3.1152,-12.3045,3.607377,-4.23306,35.92108674,
265,0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,392.4,10.45,22.8,36.3411,-0.082559608,0.916,0,-11.242272,21.136896,-2.96524855,1.498,-3.1152,-12.3045,3.64932,-5.46117,28.37036584,
266,0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,384.07,14.79,30.7,36.3411,-0.08516988,0.916,0,-11.242272,26.6644224,-3.18377983,1.498,-3.1152,-12.3045,3.571851,-7.729254,31.33119769,
267,0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,384.54,7.44,50,36.3411,-0.062692056,0.916,0,-9.9912,31.5418752,-3.61472232,1.498,-3.1152,-12.3045,3.576222,-3.888144,40.89673882,
268,0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,390.3,3.16,43.5,36.3411,-0.0585902,0.916,0,-9.9912,28.397952,-4.2870344,1.498,-3.1152,-12.3045,3.62979,-1.651416,39.3749014,
269,0.09065,20,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65,20.7,36.3411,-0.00982646,0.916,2.7187,-8.062464,22.505472,-5.84765225,0.8988,-2.6314,-17.6049,3.639462,-7.13349,25.72980129,
270,0.29916,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,388.65,13,21.1,36.3411,-0.032428944,0.916,0,-8.062464,22.2621696,-6.6111683,0.8988,-2.6314,-17.6049,3.614445,-6.7938,22.29635336,
271,0.16211,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59,25.2,36.3411,-0.017572724,0.916,0,-8.062464,23.721984,-6.6111683,0.8988,-2.6314,-17.6049,3.69117,-3.443934,27.19761498,
272,0.1146,20,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73,24.4,36.3411,-0.01242264,0.916,0,-8.062464,24.8548608,-5.84765225,0.8988,-2.6314,-17.6049,3.673128,-4.039698,28.48535191,
273,0.22188,20,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58,35.2,36.3411,-0.024051792,0.916,2.7187,-8.062464,29.2381056,-6.51787455,0.8988,-2.6314,-17.6049,3.634161,-3.438708,35.46746826,
274,0.05644,40,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,396.9,3.53,32.4,36.3411,-0.006118096,1.832,2.7187,-7.767072,25.6912128,-6.08663352,1.1984,-2.9972,-16.6584,3.69117,-1.844778,36.11238118,
275,0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98,32,36.3411,-0.010410736,1.832,0,-7.767072,26.0561664,-6.36979871,1.1984,-2.9972,-16.6584,3.69117,-1.557348,33.75860695,
276,0.10469,40,6.41,1,0.447,7.267,49,4.7872,4,254,17.6,389.25,6.05,33.2,36.3411,-0.011348396,1.832,2.7187,-7.767072,27.6262272,-7.14585344,1.1984,-2.9972,-16.6584,3.620025,-3.16173,35.59484836,
277,0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,393.45,4.16,33.1,36.3411,-0.006641668,1.832,2.7187,-7.767072,25.9497216,-7.25870156,1.1984,-2.9972,-16.6584,3.659085,-2.174016,34.83697537,
278,0.07978,40,6.41,0,0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19,29.1,36.3411,-0.008648152,1.832,0,-7.767072,24.6419712,-6.18022581,1.1984,-2.9972,-16.6584,3.69117,-3.757494,30.33560124,
279,0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85,35.1,36.3411,-0.022805192,0.916,0,-7.6958304,25.8964992,-6.12111489,1.498,-2.5488,-14.10285,3.69117,-2.53461,35.31675872,
280,0.03578,20,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76,45.4,36.3411,-0.003878552,0.916,0,-7.6958304,29.728512,-7.00777869,1.498,-2.5488,-14.10285,3.601983,-1.964976,38.76148136,
281,0.03705,20,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,392.23,4.59,35.4,36.3411,-0.00401622,0.916,0,-7.6958304,26.4895488,-7.82876369,1.498,-2.5488,-14.10285,3.647739,-2.398734,34.31339349,
282,0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,377.07,3.01,46,36.3411,-0.006643836,0.916,2.7187,-7.6958304,29.063232,-7.77980313,1.498,-2.5488,-14.10285,3.506751,-1.573026,40.33682963,
283,0.01501,90,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16,50,36.3411,-0.001627084,4.122,2.7187,-6.967776,30.1200768,-8.7845395,0.2996,-2.3364,-12.8724,3.678336,-1.651416,44.66565422,
284,0.00906,90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85,32.2,36.3411,-0.000982104,4.122,0,-6.9504,26.9457408,-10.90760671,0.2996,-3.363,-14.48145,3.670896,-4.10241,31.57348799,
285,0.01096,55,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,394.72,8.23,22,36.3411,-0.001188064,2.519,0,-6.759264,24.5317248,-10.90760671,0.2996,-3.54,-14.48145,3.670896,-4.300998,27.37181403,
286,0.01965,80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,341.6,12.93,20.1,36.3411,-0.00213006,3.664,0,-6.68976,23.683968,-13.56744884,0.2996,-2.8438,-17.2263,3.17688,-6.757218,20.0788911,
287,0.03871,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14,23.2,36.3411,-0.004196164,2.4045,0,-7.03728,23.6041344,-10.92238444,1.7976,-3.4574,-15.7119,3.69117,-3.731364,26.9739798,
288,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,396.9,7.6,22.3,36.3411,-0.00497556,2.4045,0,-7.03728,24.007104,-10.92238444,1.7976,-3.4574,-15.7119,3.69117,-3.97176,27.135774,
289,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51,24.8,36.3411,-0.004657948,2.4045,0,-7.03728,24.957504,-10.92238444,1.7976,-3.4574,-15.7119,3.456996,-4.969926,26.85415161,
290,0.03502,80,4.95,0,0.411,6.861,27.9,5.1167,4,245,19.2,396.9,3.33,28.5,36.3411,-0.003796168,3.664,0,-7.141536,26.0827776,-7.63769809,1.1984,-2.891,-18.1728,3.69117,-1.740258,33.39035934,
291,0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,396.9,3.56,37.3,36.3411,-0.008548424,3.664,0,-7.141536,27.1738368,-7.63769809,1.1984,-2.891,-18.1728,3.69117,-1.860456,34.35646829,
292,0.03615,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,396.9,4.7,27.9,36.3411,-0.00391866,3.664,0,-7.141536,25.204608,-7.63769809,1.1984,-2.891,-18.1728,3.69117,-2.45622,31.79610525,
293,0.08265,0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16,396.9,8.58,23.9,36.3411,-0.00895926,0,0,-7.593312,23.2924032,-8.21388029,1.1984,-3.4102,-15.144,3.69117,-4.483908,25.66881365,
294,0.08199,0,13.92,0,0.437,6.009,42.3,5.5027,4,289,16,396.9,10.4,21.7,36.3411,-0.008887716,0,0,-7.593312,22.8438144,-8.21388029,1.1984,-3.4102,-15.144,3.69117,-5.43504,24.26916439,
295,0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16,396.9,6.27,28.6,36.3411,-0.014018288,0,0,-7.593312,25.3870848,-8.89708908,1.1984,-3.4102,-15.144,3.69117,-3.276702,28.28243343,
296,0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,392.85,7.39,27.1,36.3411,-0.005823248,0,0,-7.593312,24.8966784,-8.89708908,1.1984,-3.4102,-15.144,3.653505,-3.862014,27.17724507,
297,0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,396.9,15.84,20.3,36.3411,-0.015287652,0,0,-7.593312,22.011264,-9.433864,1.1984,-3.4102,-15.144,3.69117,-8.277984,19.36728635,
298,0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97,22.5,36.3411,-0.007009144,3.206,0,-6.9504,24.121152,-11.68455706,1.498,-4.2244,-14.0082,3.424632,-2.597322,29.1189958,
299,0.05561,70,2.24,0,0.4,7.041,10,7.8278,5,358,14.8,371.58,4.74,29,36.3411,-0.006028124,3.206,0,-6.9504,26.7670656,-11.68455706,1.498,-4.2244,-14.0082,3.455694,-2.477124,31.91715042,
300,0.04417,70,2.24,0,0.4,6.871,47.4,7.8278,5,358,14.8,390.86,6.07,24.8,36.3411,-0.004788028,3.206,0,-6.9504,26.1207936,-11.68455706,1.498,-4.2244,-14.0082,3.634998,-3.172182,30.75636451,
301,0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5,22,36.3411,-0.003834108,1.5572,0,-7.523808,25.052544,-8.19746059,2.0972,-3.8822,-15.23865,3.680475,-4.9647,28.9178663,
302,0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67,26.4,36.3411,-0.010044344,1.5572,0,-7.523808,24.691392,-8.19746059,2.0972,-3.8822,-15.23865,3.567573,-4.530942,28.87136007,
303,0.1,34,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86,33.1,36.3411,-0.01084,1.5572,0,-7.523808,26.5427712,-8.19746059,2.0972,-3.8822,-15.23865,3.630999,-2.539836,32.77647561,
304,0.05515,33,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,393.68,6.93,36.1,36.3411,-0.00597826,1.5114,0,-8.201472,27.5083776,-6.0036394,2.0972,-2.6196,-17.4156,3.661224,-3.621618,33.25139394,
305,0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,393.36,8.93,28.4,36.3411,-0.005939236,1.5114,0,-8.201472,25.1513856,-5.030399,2.0972,-2.6196,-17.4156,3.658248,-4.666818,30.81950536,
306,0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,396.9,6.47,33.4,36.3411,-0.008133252,1.5114,0,-8.201472,28.207872,-4.62617584,2.0972,-2.6196,-17.4156,3.69117,-3.381222,35.59653891,
307,0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,396.9,7.53,28.2,36.3411,-0.005346288,1.5114,0,-8.201472,26.0371584,-4.75081629,2.0972,-2.6196,-17.4156,3.69117,-3.935178,32.75001582,
308,0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,396.9,4.54,22.8,36.3411,-0.053439032,0,0,-9.452544,25.223616,-4.95203225,1.1984,-3.5872,-17.4156,3.69117,-2.372604,28.62086672,
309,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,396.24,9.97,20.3,36.3411,-0.03787496,0,0,-9.452544,22.7031552,-4.63110175,1.1984,-3.5872,-17.4156,3.685032,-5.210322,23.59304449,
310,2.63548,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,350.45,12.64,16.1,36.3411,-0.285686032,0,0,-9.452544,18.9053568,-3.76070838,1.1984,-3.5872,-17.4156,3.259185,-6.605664,18.59663939,
311,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,396.9,5.98,22.1,36.3411,-0.085680444,0,0,-9.452544,23.2733952,-3.94117581,1.1984,-3.5872,-17.4156,3.69117,-3.125148,26.89671695,
312,0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,396.3,11.72,19.4,36.3411,-0.028367196,0,0,-9.452544,22.8970368,-4.2303118,1.1984,-3.5872,-17.4156,3.68559,-6.124872,23.2832318,
313,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9,21.6,36.3411,-0.029200792,0,0,-9.452544,23.8208256,-4.87038156,1.1984,-3.5872,-17.4156,3.658527,-4.12854,25.53538625,
314,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28,23.8,36.3411,-0.04002128,0,0,-9.452544,24.9651072,-5.37715321,1.1984,-3.5872,-17.4156,3.679917,-4.849728,25.46227771,
315,0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5,16.2,36.3411,-0.027485904,0,0,-9.452544,21.688128,-5.8887015,1.1984,-3.5872,-17.4156,3.686706,-6.0099,20.5329026,
316,0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,390.7,18.33,17.8,36.3411,-0.034500468,0,0,-9.452544,22.4826624,-5.96871022,1.1984,-3.5872,-17.4156,3.63351,-9.579258,17.61785971,
317,0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,396.9,15.94,19.8,36.3411,-0.026581848,0,0,-9.452544,21.9808512,-6.01811859,1.1984,-3.5872,-17.4156,3.69117,-8.330244,18.38123276,
318,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36,23.1,36.3411,-0.043578968,0,0,-9.452544,24.2618112,-5.27296275,1.1984,-3.5872,-17.4156,3.675453,-5.414136,24.29074248,
319,0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,396.23,12.73,21,36.3411,-0.051540948,0,0,-9.452544,23.2391808,-5.97363613,1.1984,-3.5872,-17.4156,3.684939,-6.652698,21.33040072,
320,0.1676,0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2,23.8,36.3411,-0.01816784,0,0,-8.566368,24.4290816,-6.77745508,1.498,-3.3866,-18.5514,3.69117,-3.76272,24.89664068,
321,0.18159,0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,396.9,6.87,23.1,36.3411,-0.019684356,0,0,-8.566368,24.2390016,-6.77745508,1.498,-3.3866,-18.5514,3.69117,-3.590262,24.87750216,
322,0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7,20.4,36.3411,-0.038063576,0,0,-8.566368,22.9654656,-7.04718597,1.498,-3.3866,-18.5514,3.69117,-4.02402,22.88209805,
323,0.28392,0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74,18.5,36.3411,-0.030776928,0,0,-8.566368,21.6995328,-7.04718597,1.498,-3.3866,-18.5514,3.637509,-6.135324,19.4584869,
324,0.34109,0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12,25,36.3411,-0.036974156,0,0,-8.566368,24.387264,-7.04718597,1.498,-3.3866,-18.5514,3.69117,-3.198312,25.13069387,
325,0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08,24.6,36.3411,-0.020797624,0,0,-8.566368,24.4480896,-8.08431393,1.498,-3.3866,-18.5514,3.661224,-2.654808,24.68412605,
326,0.30347,0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15,23,36.3411,-0.032896148,0,0,-8.566368,23.9956992,-8.08431393,1.498,-3.3866,-18.5514,3.69117,-3.21399,23.69040112,
327,0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79,22.2,36.3411,-0.026127652,0,0,-8.566368,23.1251328,-8.08431393,1.498,-3.3866,-18.5514,3.69117,-6.684054,19.35653922,
328,0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,382.44,9.97,19.3,36.3411,-0.007172828,0,0,-7.99296,22.3077888,-7.78383342,1.1984,-5.074,-15.99585,3.556692,-5.210322,21.33984255,
329,0.06724,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,375.21,7.34,22.6,36.3411,-0.007288816,0,0,-7.99296,24.0755328,-7.78383342,1.1984,-5.074,-15.99585,3.489453,-3.835884,24.41466956,
330,0.04544,0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09,19.8,36.3411,-0.004925696,0,0,-7.99296,23.3570304,-8.76752272,1.1984,-5.074,-15.99585,3.427701,-4.750434,21.73853898,
331,0.05023,35,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43,17.1,36.3411,-0.005444932,1.603,0,-7.6089504,21.6919296,-9.91257289,0.2996,-3.5872,-15.99585,3.664386,-6.495918,19.99407938,
332,0.03466,35,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,362.25,7.83,19.4,36.3411,-0.003757144,1.603,0,-7.6089504,22.9274496,-9.91257289,0.2996,-3.5872,-15.99585,3.368925,-4.091958,23.33978617,
333,0.05083,0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68,22.2,36.3411,-0.005509972,0,0,-8.94864,24.0109056,-9.64045368,1.498,-2.6432,-19.1193,3.624303,-2.968368,22.14883695,
334,0.03738,0,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75,20.7,36.3411,-0.004051992,0,0,-8.94864,23.988096,-9.64045368,1.498,-2.6432,-19.1193,3.62142,-3.52755,21.56542033,
335,0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,396.9,8.01,21.1,36.3411,-0.004293724,0,0,-8.94864,22.9502592,-8.93425731,1.498,-2.6432,-19.1193,3.69117,-4.186026,20.64481217,
336,0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,19.5,36.3411,-0.003714868,0,0,-8.94864,22.3115904,-7.80846297,1.498,-2.6432,-19.1193,3.69117,-5.12148,20.19706256,
337,0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56,18.5,36.3411,-0.003296444,0,0,-8.94864,22.410432,-8.3815105,1.498,-2.6432,-19.1193,3.671733,-5.518656,19.30666206,
338,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,20.6,36.3411,-0.003583704,0,0,-8.94864,23.0338944,-7.18317094,1.498,-2.6432,-19.1193,3.684102,-4.447326,22.21187576,
339,0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,19,36.3411,-0.005958748,0,0,-8.94864,22.752576,-7.18317094,1.498,-2.6432,-19.1193,3.69117,-5.090124,21.29245231,
